;periodo;fecham;cod_01;PatEf
160;201908;2019-08-01 00:00:00;11;32834664715
161;201908;2019-08-01 00:00:00;13;8.17691E+11
162;201908;2019-08-01 00:00:00;17;6.96563E+11
163;201908;2019-08-01 00:00:00;6;6.96321E+11
164;201908;2019-08-01 00:00:00;10;7.99199E+11
165;201909;2019-09-01 00:00:00;4;22552695050
166;201909;2019-09-01 00:00:00;3;2.82482E+12
167;201909;2019-09-01 00:00:00;11;32590839200
168;201909;2019-09-01 00:00:00;24;4.21489E+12
169;201909;2019-09-01 00:00:00;21;1.9756E+11
170;201909;2019-09-01 00:00:00;8;2.73082E+12
171;201909;2019-09-01 00:00:00;23;1.03554E+11
172;201909;2019-09-01 00:00:00;20;2.58495E+11
173;201909;2019-09-01 00:00:00;17;7.04127E+11
174;201909;2019-09-01 00:00:00;10;8.23733E+11
175;201909;2019-09-01 00:00:00;18;4.46006E+12
176;201909;2019-09-01 00:00:00;15;4.34842E+12
177;201909;2019-09-01 00:00:00;13;8.20574E+11
178;201909;2019-09-01 00:00:00;14;2.49153E+11
179;201909;2019-09-01 00:00:00;5;2.41244E+11
180;201909;2019-09-01 00:00:00;19;3.51012E+12
181;201909;2019-09-01 00:00:00;16;1.25567E+11
182;201909;2019-09-01 00:00:00;6;7.00639E+11
183;201910;2019-10-01 00:00:00;14;2.46953E+11
184;201910;2019-10-01 00:00:00;18;4.48324E+12
185;201910;2019-10-01 00:00:00;13;8.22497E+11
186;201910;2019-10-01 00:00:00;17;7.07348E+11
187;201910;2019-10-01 00:00:00;10;8.26934E+11
188;201910;2019-10-01 00:00:00;4;22475464476
189;201910;2019-10-01 00:00:00;8;2.76084E+12
190;201910;2019-10-01 00:00:00;3;2.83059E+12
191;201910;2019-10-01 00:00:00;15;4.4074E+12
192;201910;2019-10-01 00:00:00;5;2.43435E+11
193;201910;2019-10-01 00:00:00;23;99794407741
194;201910;2019-10-01 00:00:00;19;3.49762E+12
195;201910;2019-10-01 00:00:00;21;1.97873E+11
196;201910;2019-10-01 00:00:00;24;4.21329E+12
197;201910;2019-10-01 00:00:00;20;2.63267E+11
198;201910;2019-10-01 00:00:00;16;1.25123E+11
199;201910;2019-10-01 00:00:00;11;32316886171
200;201910;2019-10-01 00:00:00;6;6.96376E+11
201;201911;2019-11-01 00:00:00;13;8.32381E+11
202;201911;2019-11-01 00:00:00;3;2.92744E+12
203;201911;2019-11-01 00:00:00;14;2.50613E+11
204;201911;2019-11-01 00:00:00;18;4.55319E+12
205;201911;2019-11-01 00:00:00;4;23898138697
206;201911;2019-11-01 00:00:00;21;1.99406E+11
207;201911;2019-11-01 00:00:00;5;2.64481E+11
208;201911;2019-11-01 00:00:00;19;3.55026E+12
209;201911;2019-11-01 00:00:00;17;7.1469E+11
210;201911;2019-11-01 00:00:00;10;8.27281E+11
211;201911;2019-11-01 00:00:00;20;2.65609E+11
212;201911;2019-11-01 00:00:00;24;4.24466E+12
213;201911;2019-11-01 00:00:00;6;6.85347E+11
214;201911;2019-11-01 00:00:00;16;1.25436E+11
215;201911;2019-11-01 00:00:00;8;2.7923E+12
216;201911;2019-11-01 00:00:00;23;1.00257E+11
217;201911;2019-11-01 00:00:00;11;31481274758
218;201911;2019-11-01 00:00:00;15;4.55484E+12
219;201912;2019-12-01 00:00:00;20;2.68343E+11
220;201912;2019-12-01 00:00:00;21;1.97147E+11
221;201912;2019-12-01 00:00:00;3;2.91231E+12
222;201912;2019-12-01 00:00:00;10;8.34064E+11
223;201912;2019-12-01 00:00:00;15;4.47457E+12
224;201912;2019-12-01 00:00:00;5;2.69663E+11
225;201912;2019-12-01 00:00:00;8;2.78715E+12
226;201912;2019-12-01 00:00:00;14;2.51647E+11
227;201912;2019-12-01 00:00:00;24;4.3044E+12
228;201912;2019-12-01 00:00:00;17;7.15242E+11
229;201912;2019-12-01 00:00:00;11;31128198360
230;201912;2019-12-01 00:00:00;23;1.02697E+11
231;201912;2019-12-01 00:00:00;16;1.25324E+11
232;201912;2019-12-01 00:00:00;13;8.42548E+11
233;201912;2019-12-01 00:00:00;4;23882345516
234;201912;2019-12-01 00:00:00;18;4.56909E+12
235;201912;2019-12-01 00:00:00;19;3.28057E+12
236;201912;2019-12-01 00:00:00;6;6.9155E+11
237;202001;2020-01-01 00:00:00;23;1.03751E+11
238;202001;2020-01-01 00:00:00;10;8.39478E+11
239;202001;2020-01-01 00:00:00;5;2.71076E+11
240;202001;2020-01-01 00:00:00;21;1.99635E+11
241;202001;2020-01-01 00:00:00;24;4.47087E+12
242;202001;2020-01-01 00:00:00;6;7.25045E+11
243;202001;2020-01-01 00:00:00;8;2.81129E+12
244;202001;2020-01-01 00:00:00;13;8.45721E+11
245;202001;2020-01-01 00:00:00;15;4.61506E+12
246;202001;2020-01-01 00:00:00;17;7.23213E+11
247;202001;2020-01-01 00:00:00;20;2.72848E+11
248;202001;2020-01-01 00:00:00;18;4.61416E+12
249;202001;2020-01-01 00:00:00;14;2.54739E+11
250;202001;2020-01-01 00:00:00;16;1.25176E+11
251;202001;2020-01-01 00:00:00;11;30846962068
252;202001;2020-01-01 00:00:00;4;23769180235
253;202001;2020-01-01 00:00:00;3;3.12911E+12
254;202001;2020-01-01 00:00:00;19;3.28875E+12
255;202002;2020-02-01 00:00:00;17;7.29287E+11
256;202002;2020-02-01 00:00:00;4;23678680804
257;202002;2020-02-01 00:00:00;10;8.41439E+11
258;202002;2020-02-01 00:00:00;15;4.68747E+12
259;202002;2020-02-01 00:00:00;20;3.25591E+11
260;202002;2020-02-01 00:00:00;13;8.49448E+11
261;202002;2020-02-01 00:00:00;14;2.59658E+11
262;202002;2020-02-01 00:00:00;3;3.14059E+12
263;202002;2020-02-01 00:00:00;16;1.25463E+11
264;202002;2020-02-01 00:00:00;11;30448679820
265;202002;2020-02-01 00:00:00;8;2.96225E+12
266;202002;2020-02-01 00:00:00;21;2.0095E+11
267;202002;2020-02-01 00:00:00;23;1.02622E+11
268;202002;2020-02-01 00:00:00;19;3.28393E+12
269;202002;2020-02-01 00:00:00;6;7.1546E+11
270;202002;2020-02-01 00:00:00;18;4.66934E+12
271;202002;2020-02-01 00:00:00;5;2.69985E+11
272;202002;2020-02-01 00:00:00;24;4.49694E+12
273;202003;2020-03-01 00:00:00;3;3.11109E+12
274;202003;2020-03-01 00:00:00;15;4.68095E+12
275;202003;2020-03-01 00:00:00;8;3.0686E+12
276;202003;2020-03-01 00:00:00;20;3.2528E+11
277;202003;2020-03-01 00:00:00;24;4.5846E+12
278;202003;2020-03-01 00:00:00;19;3.16892E+12
279;202003;2020-03-01 00:00:00;23;1.06569E+11
280;202003;2020-03-01 00:00:00;14;2.55528E+11
281;202003;2020-03-01 00:00:00;4;23745982851
282;202003;2020-03-01 00:00:00;10;8.25812E+11
283;202003;2020-03-01 00:00:00;5;2.74432E+11
284;202003;2020-03-01 00:00:00;16;1.25338E+11
285;202003;2020-03-01 00:00:00;17;7.33589E+11
286;202003;2020-03-01 00:00:00;11;30278491869
287;202003;2020-03-01 00:00:00;6;6.66561E+11
288;202003;2020-03-01 00:00:00;13;8.54509E+11
289;202003;2020-03-01 00:00:00;18;4.58711E+12
290;202003;2020-03-01 00:00:00;21;1.83677E+11
291;202004;2020-04-01 00:00:00;21;1.80288E+11
292;202004;2020-04-01 00:00:00;18;4.68566E+12
293;202004;2020-04-01 00:00:00;8;3.16496E+12
294;202004;2020-04-01 00:00:00;4;23561905562
295;202004;2020-04-01 00:00:00;17;7.41506E+11
296;202004;2020-04-01 00:00:00;23;1.13883E+11
297;202004;2020-04-01 00:00:00;5;3.14544E+11
298;202004;2020-04-01 00:00:00;13;8.69327E+11
299;202004;2020-04-01 00:00:00;15;4.72188E+12
300;202004;2020-04-01 00:00:00;16;1.24938E+11
301;202004;2020-04-01 00:00:00;24;4.93829E+12
302;202004;2020-04-01 00:00:00;3;3.12361E+12
303;202004;2020-04-01 00:00:00;20;3.2785E+11
304;202004;2020-04-01 00:00:00;19;3.21116E+12
305;202004;2020-04-01 00:00:00;6;6.78938E+11
306;202004;2020-04-01 00:00:00;14;2.614E+11
307;202004;2020-04-01 00:00:00;11;29971145764
308;202004;2020-04-01 00:00:00;10;8.48685E+11
309;202005;2020-05-01 00:00:00;15;4.79188E+12
310;202005;2020-05-01 00:00:00;14;2.6292E+11
311;202005;2020-05-01 00:00:00;3;3.11732E+12
312;202005;2020-05-01 00:00:00;17;7.52774E+11
313;202005;2020-05-01 00:00:00;20;3.26684E+11
314;202005;2020-05-01 00:00:00;21;1.80607E+11
315;202005;2020-05-01 00:00:00;18;4.78837E+12
316;202005;2020-05-01 00:00:00;24;5.03214E+12
317;202005;2020-05-01 00:00:00;10;8.8234E+11
318;202005;2020-05-01 00:00:00;19;3.25385E+12
319;202005;2020-05-01 00:00:00;23;1.17598E+11
320;202005;2020-05-01 00:00:00;11;29655129880
321;202005;2020-05-01 00:00:00;5;3.08246E+11
322;202005;2020-05-01 00:00:00;16;1.23644E+11
323;202005;2020-05-01 00:00:00;4;23482591781
324;202005;2020-05-01 00:00:00;8;3.13992E+12
325;202005;2020-05-01 00:00:00;6;7.19628E+11
326;202005;2020-05-01 00:00:00;13;8.76739E+11
327;202006;2020-06-01 00:00:00;5;3.09907E+11
328;202006;2020-06-01 00:00:00;19;3.23839E+12
329;202006;2020-06-01 00:00:00;17;7.52464E+11
330;202006;2020-06-01 00:00:00;18;4.81395E+12
331;202006;2020-06-01 00:00:00;21;1.78841E+11
