Columna1;periodo;fecham;cod_01;PatEf
397;201912;2019-12-01 00:00:00;19;3,28057E+12
398;202108;2021-08-01 00:00:00;19;3,03675E+12
399;201911;2019-11-01 00:00:00;19;3,55026E+12
400;202004;2020-04-01 00:00:00;19;3,21116E+12
401;201907;2019-07-01 00:00:00;19;3,4864E+12
402;201905;2019-05-01 00:00:00;19;3,42749E+12
403;202107;2021-07-01 00:00:00;19;3,00157E+12
404;202102;2021-02-01 00:00:00;19;3,03603E+12
405;201903;2019-03-01 00:00:00;19;3,39207E+12
406;201910;2019-10-01 00:00:00;19;3,49762E+12
407;202207;2022-07-01 00:00:00;19;3,95611E+12
408;202002;2020-02-01 00:00:00;19;3,28393E+12
409;202104;2021-04-01 00:00:00;19;2,96191E+12
410;202110;2021-10-01 00:00:00;19;3,4974E+12
411;201901;2019-01-01 00:00:00;19;3,39783E+12
412;202203;2022-03-01 00:00:00;19;3,80822E+12
413;202006;2020-06-01 00:00:00;19;3,23839E+12
414;202003;2020-03-01 00:00:00;19;3,16892E+12
415;202010;2020-10-01 00:00:00;19;3,07221E+12
416;202009;2020-09-01 00:00:00;19;3,14873E+12
417;202005;2020-05-01 00:00:00;19;3,25385E+12
418;202008;2020-08-01 00:00:00;19;3,13327E+12
419;202204;2022-04-01 00:00:00;19;3,88931E+12
420;202202;2022-02-01 00:00:00;19;3,79513E+12
421;201904;2019-04-01 00:00:00;19;3,40354E+12
422;202103;2021-03-01 00:00:00;19;2,98415E+12
423;202011;2020-11-01 00:00:00;19;3,10431E+12
424;202106;2021-06-01 00:00:00;19;2,97614E+12
425;202109;2021-09-01 00:00:00;19;3,06183E+12
426;202101;2021-01-01 00:00:00;19;3,06346E+12
427;202007;2020-07-01 00:00:00;19;3,21101E+12
428;201908;2019-08-01 00:00:00;19;3,50088E+12
429;201902;2019-02-01 00:00:00;19;3,40253E+12
430;202012;2020-12-01 00:00:00;19;3,04466E+12
431;201906;2019-06-01 00:00:00;19;3,45102E+12
432;202111;2021-11-01 00:00:00;19;3,99212E+12
433;202105;2021-05-01 00:00:00;19;3,01411E+12
434;201909;2019-09-01 00:00:00;19;3,51012E+12
435;202205;2022-05-01 00:00:00;19;3,94742E+12
436;202201;2022-01-01 00:00:00;19;4,10349E+12
437;202206;2022-06-01 00:00:00;19;3,98989E+12
438;201812;2018-12-01 00:00:00;19;3,41584E+12
439;202112;2021-12-01 00:00:00;19;4,03648E+12
440;202208;2022-08-01 00:00:00;19;4,00861E+12
441;201901;2019-01-01 00:00:00;14;2,35947E+11
442;201904;2019-04-01 00:00:00;14;2,39788E+11
443;201905;2019-05-01 00:00:00;14;2,40955E+11
444;202101;2021-01-01 00:00:00;14;2,81407E+11
445;201909;2019-09-01 00:00:00;14;2,49153E+11
446;202107;2021-07-01 00:00:00;14;2,90538E+11
447;201911;2019-11-01 00:00:00;14;2,50613E+11
448;201812;2018-12-01 00:00:00;14;2,35198E+11
449;202005;2020-05-01 00:00:00;14;2,6292E+11
450;202109;2021-09-01 00:00:00;14;2,95864E+11
451;202104;2021-04-01 00:00:00;14;2,83766E+11
452;202003;2020-03-01 00:00:00;14;2,55528E+11
453;202108;2021-08-01 00:00:00;14;2,91985E+11
454;202203;2022-03-01 00:00:00;14;3,09605E+11
455;202011;2020-11-01 00:00:00;14;2,78984E+11
456;202006;2020-06-01 00:00:00;14;2,69326E+11
457;202110;2021-10-01 00:00:00;14;2,94369E+11
458;202007;2020-07-01 00:00:00;14;2,67599E+11
459;202009;2020-09-01 00:00:00;14;2,7452E+11
