Columna1;fecham;cod_01;cod_02;tot_deuda;periodo
203;01-07-2020 0:00;10;13;1507963920;202007
204;01-07-2020 0:00;24;6;1058511;202007
205;01-08-2020 0:00;24;16;946005;202008
206;01-08-2020 0:00;3;4;1406222201;202008
207;01-08-2020 0:00;24;18;4865358701;202008
208;01-08-2020 0:00;4;18;7000048611;202008
209;01-08-2020 0:00;23;8;15634303286;202008
210;01-08-2020 0:00;10;13;1543148752;202008
211;01-08-2020 0:00;24;6;1133333;202008
212;01-09-2020 0:00;24;16;37084;202009
213;01-09-2020 0:00;3;4;1428348569;202009
214;01-09-2020 0:00;24;18;4828424924;202009
215;01-09-2020 0:00;4;18;7100049306;202009
216;01-09-2020 0:00;23;8;15811271691;202009
217;01-09-2020 0:00;10;19;240235358;202009
218;01-09-2020 0:00;24;6;89541;202009
219;01-10-2020 0:00;24;16;180855;202010
220;01-10-2020 0:00;3;4;1399901753;202010
221;01-10-2020 0:00;4;18;7100098611;202010
222;01-10-2020 0:00;24;18;4743605253;202010
223;01-10-2020 0:00;23;8;15480983955;202010
224;01-10-2020 0:00;10;19;236657705;202010
225;01-10-2020 0:00;24;6;134312;202010
226;01-11-2020 0:00;24;16;16580;202011
227;01-11-2020 0:00;3;4;1392434793;202011
228;01-11-2020 0:00;4;18;7000048611;202011
229;01-11-2020 0:00;24;18;4829810329;202011
230;01-11-2020 0:00;23;8;15363608985;202011
231;01-11-2020 0:00;18;8;100000000000;202011
232;01-11-2020 0:00;10;19;145153944;202011
233;01-11-2020 0:00;24;6;134312;202011
234;01-12-2020 0:00;24;16;169245;202012
235;01-12-2020 0:00;3;4;1112727041;202012
236;01-12-2020 0:00;24;18;4591296252;202012
237;01-12-2020 0:00;4;18;7100098611;202012
238;01-12-2020 0:00;18;8;100001000000;202012
239;01-12-2020 0:00;23;8;14278531749;202012
240;01-12-2020 0:00;10;19;51657035;202012
241;01-12-2020 0:00;18;24;160001000000;202012
242;01-12-2020 0:00;4;24;7100118333;202012
243;01-12-2020 0:00;8;24;50000833333;202012
244;01-12-2020 0:00;3;10;8535223596;202012
245;01-12-2020 0:00;24;6;179082;202012
246;01-01-2021 0:00;24;16;142049;202101
247;01-01-2021 0:00;3;4;810469640;202101
248;01-01-2021 0:00;4;18;6300131250;202101
